epoch,lr,train_loss,train_con,train_aux,train_acc,val_loss,val_con,val_aux,val_acc
1,0.0009990133642141358,1.9339368712380407,1.9007287487605016,0.16604060262828052,0.9863857374392221,2.4173834424367966,2.362655715892658,0.273638648453832,0.9783836630357754
2,0.000996057350657239,1.4838561121416634,1.472120436567155,0.05867840051651001,0.9983792544570502,2.252507849307312,2.2089475939487753,0.21780131817796347,0.9847925267166712
3,0.0009911436253643444,1.4027213851288807,1.3938114917258968,0.04454945131315211,0.9994732576985413,2.2545153319822715,2.215248399109212,0.19633459287986738,0.9904410160678173
4,0.0009842915805643156,1.3660249913337745,1.3584216915807616,0.03801652473703969,0.999837925445705,2.2186622179877933,2.1830965732455954,0.17782823153223754,0.9879426461003693
5,0.0009755282581475769,1.34188534398133,1.3350037480675807,0.03440798241131889,0.999837925445705,2.266650073351664,2.2338668416433687,0.16391610482219196,0.9849011510345124
6,0.0009648882429441258,1.3214585648943191,1.3152413054069012,0.031086328780245354,0.9998784440842787,2.318724221569959,2.290793125147201,0.13965546561341532,0.9941342606794153
7,0.0009524135262330099,1.3079452365105504,1.3020708423379561,0.029371950575535457,1.0,2.322368471979344,2.2903532249990195,0.16007627095835328,0.9954377579839235
8,0.0009381533400219318,1.2978809518404486,1.292328688120726,0.02776132491530437,0.9999594813614262,2.448699652824924,2.4182946943547865,0.15202482270982093,0.9960895071541411
9,0.0009221639627510075,1.2810379007647064,1.2758540038158286,0.025919517898264927,0.9999594813614262,2.3779847597573442,2.350045862183373,0.1396944598901176,0.9953291336919804
10,0.0009045084971874736,1.27144929182201,1.2666551002613728,0.02397096460108529,0.9999594813614262,2.48338605584255,2.4563797642659964,0.1350314291034241,0.9966326308928959
11,0.0008852566213878945,1.2680092533944685,1.2634200539928975,0.02294600293148955,0.9999594813614262,2.5136625257596075,2.4809843886812795,0.16339064798172778,0.9961981317568623
12,0.0008644843137107056,1.2557341824474366,1.2512469836919775,0.02243600429867423,1.0,2.5120339660884867,2.484133438781218,0.13950265532870565,0.997393004562242
13,0.0008422735529643443,1.2507054998383915,1.2465798242745176,0.020628385327913386,1.0,2.546681194856533,2.5173000300575437,0.14690585108443546,0.9970671301325222
14,0.0008187119948743448,1.2442842972336556,1.240288500403276,0.01997898152879948,1.0,2.5794674420444803,2.5523732100624947,0.1354711431084885,0.9975016293721486
15,0.0007938926261462366,1.2398269405241338,1.2359442336246298,0.01941357371631279,1.0,2.6075893821546416,2.579210348033967,0.1418952033516119,0.9970671301325222
16,0.0007679133974894982,1.2352256070852665,1.2314973615363507,0.01864122102396318,0.9999189627228525,2.6365905452390974,2.6079682188139723,0.143111702736994,0.9960895068433631
17,0.0007408768370508576,1.2365420460314573,1.2327718605871525,0.01885090843507208,0.9999189627228525,2.682029159437333,2.6548305583367937,0.135993061034855,0.9972843804774842
18,0.0007128896457825362,1.2331081756703084,1.2294798580715296,0.01814158502452957,1.0,2.6821309663978523,2.653632534552522,0.1424921683978444,0.9973930048730201
19,0.0006840622763423389,1.2284773966095244,1.2250144663854008,0.017314654493604816,1.0,2.721302053396427,2.6892226365450127,0.16039711819662625,0.9967412557028025
20,0.0006545084971874735,1.2284314331204618,1.2248866366992313,0.017724014667724674,1.0,2.666510839398053,2.6379800446779864,0.14265396597332056,0.9972843797523354
21,0.0006243449435824271,1.2236297149325885,1.2203730863922033,0.01628311741885818,1.0,2.715021058836114,2.686752738575559,0.14134156905630996,0.9983706283693647
22,0.0005936906572928622,1.2229849283274028,1.219703528927443,0.016406983206564835,1.0,2.762666379061311,2.735690772261486,0.13487802490886594,0.9976102541820552
23,0.000562666616782152,1.2175956313188883,1.2142712278342904,0.01662200249888522,1.0,2.800412765617296,2.774693082576986,0.1285984928701692,0.9984792526613079
24,0.0005313952597646566,1.2156425820757157,1.2125326350983383,0.015549734658055986,1.0,2.7923717206647907,2.7654802715314775,0.1344571669231724,0.9988051271946203
